Name,Categorization,Created,Original Publish Date,Tags
"Marijuana Legalization Responsible for University Patrol Lay-offs in Colorado ",Unemployment,"August 17, 2021 3:51 PM","March 28, 2013",Satire
Political Strategists Seek Support from Twilight Fans for 2016 Election,Politics,"August 17, 2021 3:54 PM","March 29, 2013",Satire
CEO Marries VP for Tax Benefits,Business,"August 17, 2021 3:57 PM","March 31, 2013",Satire
Awareness of Save Darfur Groups at All Time High,Activism,"August 17, 2021 3:58 PM","April 1, 2013",Satire
Under Armor Debuts New Clothing Technology that Builds Muscle,Business,"August 17, 2021 4:00 PM","April 2, 2013",Satire
Astronaut Deeply Regrets Eating Chipotle Before Take-off,Science,"August 17, 2021 4:01 PM","April 3, 2013",Satire
NY Standardized Curriculum Aims to Better Suit Diverse Student Needs,Education,"August 17, 2021 5:33 PM","April 4, 2013",Satire
"University Graduates First Class of Adult Entertainers ",Education,"August 17, 2021 5:34 PM","April 5, 2013",Satire
Haitian Cab Driver Writes FAQ Sheet to Avoid Answering Patrons Stupid Questions,Local News,"August 17, 2021 5:36 PM","April 6, 2013",Satire
Pro-life Gunman Threatens to Kill Anyone Who Enters Planned Parenthood,Politics,"August 17, 2021 5:38 PM","April 7, 2013",Satire
Dating App Allows Users to Skip the Talking,Culture,"August 17, 2021 5:46 PM","April 9, 2013",Satire
Surgeon General Approves Snickers as a Diet Bar,Politics,"August 17, 2021 5:48 PM","April 11, 2013",Satire
Is Facebook Keeping their Member's Nude Photos Private Enough?,Business,"August 17, 2021 5:49 PM","April 12, 2013",Satire
Gun Regulators Making Schools Safer by Hiring Armed Police,Education,"August 17, 2021 5:51 PM","April 13, 2013",Satire
Arrested Teen Uses Prison Phone-call to Order Domino's,Local News,"August 17, 2021 5:55 PM","April 17, 2013",Satire
"President Obama Diffuses North Korean Tensions by Handing Over US Territories ",Politics,"August 17, 2021 5:56 PM","April 18, 2013",Satire
McDonald's Sued for Releasing Artisanal Hamburger,Business,"August 17, 2021 5:57 PM","April 19, 2013",Satire
Iowa State University Offering Course for Practical Work Experience,Education,"August 17, 2021 5:58 PM","April 20, 2013",Satire
UPDATE: Still Unclear Which Party Will Be Held Responsible for Boston Tragedy,Politics,"August 17, 2021 6:02 PM","April 21, 2013",Satire
Conservative Student Impressed by College Professor Being Open-Minded,Education,"August 17, 2021 6:00 PM","April 21, 2013",Satire
Suspicious Package Left Outside Goodwill Unites Community,Local News,"August 17, 2021 6:06 PM","April 23, 2013",Satire
"Child Called ""Retard"" by Peers for Never Having Seen Dumb & Dumber",Culture,"August 17, 2021 6:09 PM","April 24, 2013",Satire
If I Could Only Google It! Game Show Captivates American Viewers,Business,"August 17, 2021 6:12 PM","April 26, 2013",Satire
Kobe Bryant Depicted as a Demigod at Basketball Hall of Fame,Culture,"August 29, 2021 2:08 PM","April 27, 2013",Satire
"Man Refuses to Use Technology Because ""It's Way too Unreliable""",Local News,"August 17, 2021 6:16 PM","April 27, 2013",Satire
The Salty Wag - Launch Announcement,Misc,"August 17, 2021 6:14 PM","April 27, 2013",Work
Obama Extends the Correspondents Dinner Comedy Tour Dates,Politics,"August 17, 2021 6:21 PM","April 30, 2013",Satire
Student is Totally Over Ex Boy-friend and Thinks His New Girlfriend isn't Even Attractive,Culture,"August 17, 2021 6:24 PM","May 2, 2013",Satire
"Wiley Brand's ""For Dummie"" Books Series Discontinued",Business,"August 17, 2021 6:27 PM","May 3, 2013",Satire
Chopped Contestant Worries that Having Living Parents Will Work Against Him in Competition,Culture,"August 17, 2021 6:30 PM","May 4, 2013",Satire
Google Glass is Enabling Fathers to Take their Children to Strip Clubs,Business,"August 17, 2021 8:45 PM","May 10, 2013",Satire
Perverts and Online Daters Misinterpret Craigslist Ad,Local News,"August 17, 2021 8:48 PM","May 13, 2013",Satire
Boston University Senior Realizes that He Has Not Matured After All,Culture,"August 17, 2021 8:58 PM","May 17, 2013",Satire
US Government Feeling Cheated Out of their Hard Earned Tax Dollars,Politics,"August 17, 2021 9:02 PM","May 21, 2013",Satire
Anti-Semitic News Anchor Released from Jail After Proving his Faith,Culture,"August 29, 2021 2:13 PM","May 23, 2013",Satire
"Man Suffering from Anxiety Over Whether or Not He'll Be Prescribed Medical Marijuana ",Local News,"August 17, 2021 9:08 PM","May 24, 2013",Satire
"Student Claims to Have ""Fucked Up Big Time"" With Student Housing Strategy",Education,"August 17, 2021 9:12 PM","May 25, 2013",Satire
Openly Homophobic Boy-Scout Feels Discriminated Against by Local Troops,Culture,"August 17, 2021 9:15 PM","May 26, 2013",Satire
Hair for Hope Charity Pleads for Jodi Arias' Life,Culture,"August 17, 2021 9:18 PM","May 27, 2013",Satire
Ash Sapling Believes to Have Grown Up a lot During the Past Year,Local News,"August 29, 2021 2:14 PM","May 28, 2013",Satire
Pro-Gun Senator Scared He May One Day Not Have a Gun To Shoot Themselves With,Politics,"August 29, 2021 2:15 PM","May 29, 2013",Satire
AOL Top News Readers Caught Off Guard By Nearly Every Major Event In the Past Year,Tech,"August 29, 2021 2:16 PM","May 30, 2013",Satire
Self Indulgent Mother Doesn’t Want to Spoil her Son,Culture,"August 29, 2021 2:17 PM","May 31, 2013",Satire
Man Commits Suicide By Turning On Car Radio in Closed Garage to NPR,Local News,"August 29, 2021 2:18 PM","June 2, 2013",Satire
Maryland Behavioral Specialist on Bestiality Charges Pleads Innocent,Local News,"August 29, 2021 2:19 PM","June 3, 2013",Satire
Shopaholic Only Does it to Look Her Best for Husband,Local News,"August 29, 2021 2:20 PM","June 4, 2013",Satire
Obama Lowers US Unemployment Rate After Realizing that Mothering is the Hardest Job on the Planet,Politics,"August 29, 2021 2:21 PM","June 5, 2013",Satire
VP Biden Takes Responsibility for Surveying All of Verizon's Phone Sex Data,Politics,"August 29, 2021 2:22 PM","June 6, 2013",Satire
Travelers Anxiously Await Fort Lauderdale Airports New Terrazzo Floor,Local News,"August 17, 2021 9:39 PM","June 7, 2013",Satire
NFL Linebacker Sues League for Limiting his Career Options,Business,"August 29, 2021 2:24 PM","June 8, 2013",Satire
High School Teachers Can't Believe What They've Been Able to Accomplish,Education,"August 29, 2021 2:25 PM","June 9, 2013",Satire
Samsung Galaxy S4 Feature Helps Save Relationships by Concealing Information,Tech,"August 29, 2021 2:26 PM","June 10, 2013",Satire
Progressive Comedian Pushes the Envelope with Comedy,Culture,"August 29, 2021 2:27 PM","June 11, 2013",Satire
Whitehouse Seeks Out Santa Claus to Help Fight the War On Terror,Politics,"August 29, 2021 2:27 PM","June 12, 2013",Satire
In the Life EXCLUSIVE - A Photographers Manifesto,Local News,"August 29, 2021 2:28 PM","June 13, 2013",Satire
Apple Aims to Help Stimulate US Economy Through iWork Program,Business,"August 29, 2021 2:29 PM","June 15, 2013",Satire
Sons and Daughters in NYC Begin Pre-Gaming for Fathers Day,Culture,"August 29, 2021 2:30 PM","June 16, 2013",Satire
"Business Student Aspires to Be an Investment Banker, Venture Capitalist, Hedge Fund Manager, or Something like that...",Education,"August 29, 2021 2:31 PM","June 17, 2013",Satire
Islamic Leaders Engage in a Peace Talk in Afghanistan,Politics,"August 29, 2021 2:38 PM","June 18, 2013",Satire
Welfare Recipient Reprimands Son for Giving Money to Beggars,Local News,"August 29, 2021 2:33 PM","June 19, 2013",Satire
Top Secret Government Intelligence Shared On National TV,Politics,"August 29, 2021 2:34 PM","June 20, 2013",Satire
New AirMat® Designed to Not Get in the Way of Your Workout,Business,"August 29, 2021 2:35 PM","June 21, 2013",Satire
Google Glass Marks First Period in History Where Wearing Glasses Can Help Get You Laid,Culture,"August 29, 2021 2:36 PM","June 23, 2013",Satire
Nations Perverts Excited for TSA's New Pat Down Security Procedure,Culture,"August 29, 2021 2:35 PM","June 23, 2013",Satire
College Girl Fed Up with Being Talked About By Foreigners,Education,"August 29, 2021 2:37 PM","June 24, 2013",Satire
Writer Who Doesn't Take Himself to Seriously Doesn't Like to Play Around,Local News,"August 29, 2021 2:38 PM","June 26, 2013",Satire